Airlines_Name,Airline_Code,Flight_Number,Cabin_Class,Aircraft_Type,Departure_Time,Departure_Port,Arrival_Time,Arrival_Port,Duration_Time,Stop,Fare,Departure_Port_Name,Arrival_Port_Name
Air India Express,IX,2712,ECONOMY,Boeing 737,09:20:00,Bengaluru,21:30:00,Delhi,12:10:00,2,3998,Kempegowda International Airport,Indira Gandhi International Airport
Air India Express,IX,2894,ECONOMY,Airbus A320,11:00:00,Bengaluru,23:10:00,Delhi,12:10:00,1,3998,Kempegowda International Airport,Indira Gandhi International Airport
Air India Express,IX,1451,ECONOMY,Airbus A320,07:00:00,Bengaluru,21:30:00,Delhi,14:30:00,1,3998,Kempegowda International Airport,Indira Gandhi International Airport
Air India Express,IX,1331,ECONOMY,Airbus A320,06:40:00,Bengaluru,21:30:00,Delhi,14:50:00,2,3998,Kempegowda International Airport,Indira Gandhi International Airport
Air India Express,IX,2720,ECONOMY,Airbus A320,23:10:00,Bengaluru,07:50:00,Delhi,08:40:00,1,4236,Kempegowda International Airport,Indira Gandhi International Airport
Air India Express,IX,2693,ECONOMY,Airbus A320,06:25:00,Bengaluru,17:20:00,Delhi,10:55:00,1,4236,Kempegowda International Airport,Indira Gandhi International Airport
Air India Express,IX,2511,ECONOMY,Airbus A320,05:25:00,Bengaluru,17:20:00,Delhi,11:55:00,2,4236,Kempegowda International Airport,Indira Gandhi International Airport
Air India Express,IX,2936,ECONOMY,Boeing 737,07:35:00,Bengaluru,20:10:00,Delhi,12:35:00,1,4236,Kempegowda International Airport,Indira Gandhi International Airport
Air India Express,IX,2971,ECONOMY,Airbus A320,05:20:00,Bengaluru,14:40:00,Delhi,09:20:00,1,4365,Kempegowda International Airport,Indira Gandhi International Airport
Air India Express,IX,2756,ECONOMY,Airbus A320,11:15:00,Bengaluru,21:25:00,Delhi,10:10:00,1,4365,Kempegowda International Airport,Indira Gandhi International Airport
AkasaAir,QP,1339,ECONOMY,Boeing 7MY,13:25:00,Bengaluru,16:20:00,Delhi,02:55:00,0,4797,Kempegowda International Airport,Indira Gandhi International Airport
Air India Express,IX,1116,ECONOMY,Airbus A320,04:30:00,Bengaluru,07:25:00,Delhi,02:55:00,0,4800,Kempegowda International Airport,Indira Gandhi International Airport
Air India Express,IX,2754,ECONOMY,Airbus A320,20:40:00,Bengaluru,23:35:00,Delhi,02:55:00,0,4800,Kempegowda International Airport,Indira Gandhi International Airport
IndiGo,6E,6034,ECONOMY,Airbus A321,18:00:00,Bengaluru,21:00:00,Delhi,03:00:00,0,4799,Kempegowda International Airport,Indira Gandhi International Airport
Air India,AI,2814,ECONOMY,Airbus A320,00:15:00,Bengaluru,02:55:00,Delhi,02:40:00,0,4899,Kempegowda International Airport,Indira Gandhi International Airport
Air India,AI,2406,ECONOMY,Airbus A320,10:10:00,Bengaluru,12:55:00,Delhi,02:45:00,0,4899,Kempegowda International Airport,Indira Gandhi International Airport
Air India,AI,428,ECONOMY,Boeing 787,14:25:00,Bengaluru,17:10:00,Delhi,02:45:00,0,4899,Kempegowda International Airport,Indira Gandhi International Airport
Air India,AI,2661,ECONOMY,Airbus A320,21:20:00,Bengaluru,00:05:00,Delhi,02:45:00,0,4899,Kempegowda International Airport,Indira Gandhi International Airport
Air India,AI,2654,ECONOMY,Airbus A320,06:40:00,Bengaluru,09:35:00,Delhi,02:55:00,0,4899,Kempegowda International Airport,Indira Gandhi International Airport
Air India,AI,2804,ECONOMY,Airbus A320,09:10:00,Bengaluru,12:05:00,Delhi,02:55:00,0,4899,Kempegowda International Airport,Indira Gandhi International Airport
Air India,AI,2652,ECONOMY,Airbus A320,11:00:00,Bengaluru,13:55:00,Delhi,02:55:00,0,4899,Kempegowda International Airport,Indira Gandhi International Airport
Air India,AI,2416,ECONOMY,Airbus A320,12:50:00,Bengaluru,15:45:00,Delhi,02:55:00,0,4899,Kempegowda International Airport,Indira Gandhi International Airport
Air India,AI,2810,ECONOMY,Airbus A320,03:55:00,Bengaluru,06:55:00,Delhi,03:00:00,0,4899,Kempegowda International Airport,Indira Gandhi International Airport
Air India,AI,2511,ECONOMY,Airbus A320,15:30:00,Bengaluru,18:30:00,Delhi,03:00:00,0,4899,Kempegowda International Airport,Indira Gandhi International Airport
Air India,AI,2802,ECONOMY,Airbus A320,18:45:00,Bengaluru,21:45:00,Delhi,03:00:00,0,4899,Kempegowda International Airport,Indira Gandhi International Airport
Air India,AI,2418,ECONOMY,Airbus A320,16:00:00,Bengaluru,19:10:00,Delhi,03:10:00,0,4899,Kempegowda International Airport,Indira Gandhi International Airport
Air India,AI,2665,ECONOMY,Airbus A350,19:20:00,Bengaluru,22:30:00,Delhi,03:10:00,0,4899,Kempegowda International Airport,Indira Gandhi International Airport
Air India Express,IX,2737,ECONOMY,Airbus A320,05:15:00,Bengaluru,10:55:00,Delhi,05:40:00,1,5034,Kempegowda International Airport,Indira Gandhi International Airport
Air India Express,IX,2704,ECONOMY,Airbus A320,17:30:00,Bengaluru,02:55:00,Delhi,09:25:00,1,5034,Kempegowda International Airport,Indira Gandhi International Airport
Air India Express,IX,2673,ECONOMY,Boeing 737,09:05:00,Bengaluru,20:00:00,Delhi,10:55:00,2,5034,Kempegowda International Airport,Indira Gandhi International Airport
Air India Express,IX,1097,ECONOMY,Airbus A320,10:25:00,Bengaluru,21:25:00,Delhi,11:00:00,1,5034,Kempegowda International Airport,Indira Gandhi International Airport
Air India Express,IX,2749,ECONOMY,Boeing 737,05:35:00,Bengaluru,18:50:00,Delhi,13:15:00,1,5034,Kempegowda International Airport,Indira Gandhi International Airport
Air India Express,IX,1169,ECONOMY,Boeing 737,10:25:00,Bengaluru,13:20:00,Delhi,02:55:00,0,5300,Kempegowda International Airport,Indira Gandhi International Airport
IndiGo,6E,638,ECONOMY,Airbus A321,18:25:00,Bengaluru,00:05:00,Delhi,05:40:00,1,5563,Kempegowda International Airport,Indira Gandhi International Airport
Air India Express,IX,1258,ECONOMY,Airbus A320,18:40:00,Bengaluru,09:05:00,Delhi,14:25:00,1,5639,Kempegowda International Airport,Indira Gandhi International Airport
AkasaAir,QP,1359,ECONOMY,Boeing 737,05:00:00,Bengaluru,07:45:00,Delhi,02:45:00,0,5670,Kempegowda International Airport,Indira Gandhi International Airport
AkasaAir,QP,1336,ECONOMY,Boeing 7YL,15:05:00,Bengaluru,17:55:00,Delhi,02:50:00,0,5670,Kempegowda International Airport,Indira Gandhi International Airport
IndiGo,6E,356,ECONOMY,Airbus A321,16:55:00,Bengaluru,22:25:00,Delhi,05:30:00,1,5822,Kempegowda International Airport,Indira Gandhi International Airport
AkasaAir,QP,1906,ECONOMY,Boeing 7YL,21:55:00,Bengaluru,07:30:00,Delhi,09:35:00,1,6190,Kempegowda International Airport,Indira Gandhi International Airport
IndiGo,6E,869,ECONOMY,Airbus A321,11:45:00,Bengaluru,14:40:00,Delhi,02:55:00,0,6149,Kempegowda International Airport,Indira Gandhi International Airport
IndiGo,6E,6923,ECONOMY,Airbus A320,05:10:00,Bengaluru,10:05:00,Delhi,04:55:00,1,5952,Kempegowda International Airport,Indira Gandhi International Airport
IndiGo,6E,6743,ECONOMY,Airbus A320,16:25:00,Bengaluru,21:20:00,Delhi,04:55:00,1,5952,Kempegowda International Airport,Indira Gandhi International Airport
IndiGo,6E,903,ECONOMY,Airbus A320,19:30:00,Bengaluru,00:35:00,Delhi,05:05:00,1,5952,Kempegowda International Airport,Indira Gandhi International Airport
